ilanBasligi,adres,il,fiyat(TRY),ilanID,ilanTarihi,marka,seri,model,kilometre(Km),yıl,vitesTipi,yakitTuru,kasaTipi,renk,motorHacmi(Cc),motorGucu(HP),cekisTipi,boyaParcaDurumu,takasUygunluk,saticiTuru,aracVergisi(TRY),hasarGecmisi,orjinal_parça_sayısı,lokal_boyalı_parça_sayısı,boyalı_parça_sayısı,değişen_parça_sayısı,durumu_belirtilmemiş_parça_sayısı
RC MOTORS tan uygun fiyatlı A4,Peyas Mh. Kayapınar,Diyarbakır,875.000 TL,28816329,07 Nisan 2025,Audi,A4,A4 Sedan 2.0 TDI,355.000 km,2014.0,Otomatik,Dizel,Sedan,Beyaz,1968 cc,150 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Tavan  Sol Ön Kapı  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  Sağ Arka Kapı  Sağ Ön Kapı  Boyalı  Sol Arka Çamurluk  Sağ Ön Çamurluk  Değişmiş  Sol Arka Kapı  Belirtilmemiş  -,Takasa Uygun Değil,Galeriden,5.119,,8,2,2,1,0
KYL MOTORS'TAN 2014 AUDİ A3 1.6 TDI AMBİTİON,Gökevler Mh. Esenyurt,İstanbul,990.000 TL,28816198,07 Nisan 2025,Audi,A3,A3 Sportback 1.6 TDI Ambition,216.000 km,2014.0,Otomatik,Dizel,Hatchback/5,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,Orjinal  Arka Kaput  Tavan  Sol Arka Kapı  Sol Ön Kapı  Motor Kaputu  Ön Tampon  Arka Tampon  Lokal boyalı  Sağ Arka Çamurluk  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Çamurluk  Boyalı  Sağ Ön Kapı  Değişmiş  Sol Ön Çamurluk  Belirtilmemiş  -,Takasa Uygun,,,,7,4,1,1,0
AUDİ A3-2018-DİZEL-OTOMATİK-SLİNE-CAM TAVAN-MATRİX KAYAR LEDSTOP,Fevzipaşa Mh. Seyhan,Adana,1.440.000 TL,28816063,07 Nisan 2025,Audi,A3,A3 Sportback 1.6 TDI Sport Line,150.500 km,2018.0,Otomatik,Dizel,Hatchback/5,Kırmızı,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  Sol Ön Kapı  Değişmiş  Sağ Ön Çamurluk  Belirtilmemiş  -,Takasa Uygun,,,,11,0,1,1,0
Sahibinden Audi A3 Sportback 1.4 TFSI Ambition 2009 Model Zonguldak,Merkez Merkez,Zonguldak,735.000 TL,27456546,07 Nisan 2025,Audi,A3,A3 Sportback 1.4 TFSI Ambition,214.000 km,2009.0,Yarı Otomatik,Benzin,Hatchback/5,Füme,1390 cc,125 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  Sol Ön Çamurluk  Boyalı  -  Değişmiş  Sol Ön Kapı  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sağ Ön Çamurluk  Motor Kaputu  Ön Tampon  Arka Tampon,,Sahibinden,,21.000,0,1,0,1,11
Sahibinden Audi A3 Sportback 35 TFSI Advanced 2023 Model,Ergenekon Mh. Turgutlu,Manisa,2.000.000 TL,28815152,07 Nisan 2025,Audi,A3,A3 Sportback 35 TFSI Advanced,27.000 km,2023.0,Yarı Otomatik,Hibrit,Hatchback/5,Beyaz,1498 cc,150 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  Sol Ön Kapı  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,tutarı yok,0,1,0,0,12
2021 HATASIZ BOYASIZ 67.000KM AUDI A3 +PREMIUM PAKET,Kazımdirik Mh. Bornova,İzmir,1.860.000 TL,28814934,07 Nisan 2025,Audi,A3,A3 Sedan 30 TFSI Advanced,67.000 km,2021.0,Otomatik,LPG & Benzin,Sedan,Siyah,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun Değil,,,,13,0,0,0,0
Sahibinden Audi A6 Sedan 2.0 tfsi2007 Model 280.000 km Siyah,Önder Mh. Altındağ,Ankara,760.000 TL,28819155,08 Nisan 2025,Audi,A6,A6 Sedan 2.0 TDI,280.000 km,2007.0,Otomatik,LPG & Benzin,Sedan,Siyah,1968 cc,140 hp,Önden Çekiş,Orjinal  Tavan  Lokal boyalı  -  Boyalı  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Değişmiş  Sol Arka Kapı  Sol Ön Kapı  Belirtilmemiş  -,,Sahibinden,,tutarı yok,1,0,10,2,0
Sahibinden Audi A4 Sedan 2.0 TDI 2015 Model,Güneştepe Mh. Osmangazi,Bursa,1.025.000 TL,28818966,08 Nisan 2025,Audi,A4,A4 Sedan 2.0 TDI,323.000 km,2015.0,Otomatik,Dizel,Sedan,Beyaz,1968 cc,150 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  Sağ Arka Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Boyalı  Sağ Ön Çamurluk  Değişmiş  -  Belirtilmemiş  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Ön Tampon  Arka Tampon,,Sahibinden,,8.500,0,3,1,0,9
ÇAPAN OTO AUDİ A6 MAKYAJLI SUNROOF+İÇİ BEJ+G-EKRAN 285.000 KM,Söğütlü Mh. Akçaabat,Trabzon,895.000 TL,28814666,07 Nisan 2025,Audi,A6,A6 Sedan 2.0 TDI,286.000 km,2011.0,Otomatik,Dizel,Sedan,Siyah,1998 cc,177 hp,Önden Çekiş,Orjinal  Sol Arka Çamurluk  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  Motor Kaputu  Boyalı  Sağ Ön Çamurluk  Değişmiş  Sağ Arka Çamurluk  Arka Kaput  Sağ Arka Kapı  Sağ Ön Kapı  Belirtilmemiş  -,Takasa Uygun,Galeriden,3.047,,7,1,1,4,0
BAKIRS//2013 AUDİ A3 DEĞİŞENSİZ KUSURSUZ CAM TAVAN/YARI DERİ,Merkez Aziziye,Erzurum,985.000 TL,28814639,07 Nisan 2025,Audi,A3,A3 Sportback 1.6 TDI Ambition,212.000 km,2013.0,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun,,,,13,0,0,0,0
AYBAR OTOMOTİV'DEN AUDİ A6,Yeşiloba Mh. Seyhan,Adana,4.165.000 TL,28814613,07 Nisan 2025,Audi,A6,A6 Sedan 40 TDI Quattro Sport,62.000 km,2021.0,Otomatik,Dizel,Sedan,Gri,1801 - 2000 cm3,201 - 225 HP,4WD (Sürekli),Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun,,,,13,0,0,0,0
ELİT AUTO AUDİ A3 SEDAN 1.6 TDİ AMBİENTE S-TRONİC BAKIMLI TEMİZ,Merkez Şehitkamil,Gaziantep,940.000 TL,28814537,07 Nisan 2025,Audi,A3,A3 Sedan 1.6 TDI Ambiente,270.000 km,2015.0,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Tavan  Sol Arka Kapı  Sol Ön Kapı  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  Sağ Ön Çamurluk  Boyalı  Sağ Arka Kapı  Değişmiş  Sağ Ön Kapı  Belirtilmemiş  -,Takasa Uygun,,,,10,1,1,1,0
Sahibinden Hatasız Tertemiz A3 Sedan 1.0 TFSI Sport Line 2017 Model,Başıbüyük Mh. Maltepe,İstanbul,1.450.000 TL,28813986,07 Nisan 2025,Audi,A3,A3 Sedan 1.0 TFSI Sport Line,68.000 km,2017.0,Yarı Otomatik,Benzin,Sedan,Siyah,999 cc,116 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Lokal boyalı  -  Boyalı  Arka Tampon  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun Değil,Sahibinden,826,tutarı yok,12,0,1,0,0
2012 AUDI A3 1.6 TDI AMBİTİON / HATASIZ / H.KAYITSIZ,Yeşiloba Mh. Seyhan,Adana,822.000 TL,28814496,07 Nisan 2025,Audi,A3,A3 Sportback 1.6 TDI Ambiente,212.000 km,2012.0,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun,,,,13,0,0,0,0
ONE1CAR AUDİ A8 L 55 TFSİ QUATTRO HATASIZ BAYİ,Maslak Mh. Sarıyer,İstanbul,11.750.000 TL,28814361,07 Nisan 2025,Audi,A8,55 TFSI Quattro Long,57.000 km,2022.0,Otomatik,Benzin,Sedan,Siyah,2995 cc,340 hp,4WD (Sürekli),Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun Değil,Galeriden,,,13,0,0,0,0
2019**AUDİ A4**4.0TDİ**S-line**79.000km**HATASIZ**,Gültepe Mh. Merkez,Sivas,2.685.058 TL,28814283,07 Nisan 2025,Audi,A4,A4 Sedan 40 TDI S Line,79.000 km,2019.0,Otomatik,Dizel,Sedan,Füme,1801 - 2000 cm3,176 - 200 HP,Önden Çekiş,Orjinal  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  Sağ Arka Çamurluk  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun,,,,12,1,0,0,0
Sahibinden Audi A3 Sportback 1.6,Osmangazi Mh. Osmangazi,Bursa,530.000 TL,28818183,08 Nisan 2025,Audi,A3,A3 Sportback 1.6 Sportback Standart,388.000 km,2008.0,Düz,LPG & Benzin,Hatchback/5,Siyah,1595 cc,102 hp,Önden Çekiş,Orjinal  Tavan  Lokal boyalı  Arka Kaput  Boyalı  Sağ Arka Çamurluk  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Sol Arka Kapı  Sol Ön Kapı  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Değişmiş  Sağ Ön Çamurluk  Belirtilmemiş  -,,Sahibinden,,tutarı yok,1,1,10,1,0
2011 A5 2.0 DİZEL OTOMATİK 174.000 KM SPORTBACK,Altınşehir Mh. Başakşehir,İstanbul,1.125.000 TL,28814098,07 Nisan 2025,Audi,A5,A5 Sportback 2.0 TDI,174.000 km,2011.0,Otomatik,Dizel,Coupe,Gri,1801 - 2000 cm3,151 - 175 HP,Önden Çekiş,Orjinal  Arka Kaput  Sağ Ön Kapı  Tavan  Sol Ön Kapı  Sağ Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  Sağ Arka Kapı  Boyalı  Sağ Arka Çamurluk  Sol Arka Çamurluk  Sol Arka Kapı  Motor Kaputu  Sol Ön Çamurluk  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun,,,,7,1,5,0,0
GOLD CARS-2021 AUDİ A3 35 TFSI ADVANCE HYBRID+BENZİN 95.000KM,Adnan Kahveci Mh. Beylikdüzü,İstanbul,1.799.999 TL,28813826,07 Nisan 2025,Audi,A3,A3 Sedan 35 TFSI Advanced,95.000 km,2021.0,Otomatik,Benzin,Sedan,Siyah,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,Orjinal  Arka Kaput  Sol Arka Çamurluk  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  Sağ Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun,,,,10,3,0,0,0
Sahibinden Audi A6 Sedan 2.0 TDI 2009 Model,5000 Evler Cumhuriyet Mh. Merkez,Karabük,840.000 TL,28812622,07 Nisan 2025,Audi,A6,A6 Sedan 2.0 TDI,360.000 km,2009.0,Otomatik,Dizel,Sedan,Siyah,1968 cc,136 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,,0,0,0,0,13
2020+HATASZ+56 BİN KM LED PAKET+AÇILRCAM+PRES %.20 KDV,Dikilitaş Mh. Beşiktaş,İstanbul,1.489.900 TL,28813803,07 Nisan 2025,Audi,A3,A3 Sedan 35 TFSI Dynamic,56.500 km,2020.0,Otomatik,Benzin,Sedan,Siyah,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sağ Ön Çamurluk  Motor Kaputu  Ön Tampon  Arka Tampon  Lokal boyalı  Sol Arka Çamurluk  Sol Arka Kapı  Sol Ön Kapı  Sol Ön Çamurluk  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun Değil,,,,9,4,0,0,0
2025 CIKIŞ A7 45 TFSI QUATTRA 360 B&O İCİ TABA EN FULL PAK.,Çakmak Mh. Ümraniye,İstanbul,7.270.000 TL,28813774,07 Nisan 2025,Audi,A7,45 TFSI,6.100 km,2024.0,Otomatik,Benzin,Hatchback/5,Siyah,1801 - 2000 cm3,251 - 275 HP,4WD (Sürekli),Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun,,,,13,0,0,0,0
